question,class,answer,drug,doctor,speciality
Dr said she is having rickets.she is very normal .but she was having pain while walking in her knees and ankles fromsomeday i want to know will she be 100%alright after treatment .  has prescribed a shellcal daily and a d3 60weekly,other,Take the above treatment Along with this take an Injection of Vitamin-D (Arachitol) 6lakh IU,https://1mg.com/drugs/arachitol-6l-injection-323178,Dr. Akshat Goel,Orthopaedics
Sir my vitamin d is 7 Some one suggest me inj arachitol 6l is this ok?? And my tsh is 9.2 Which tablet should i take??,other,Yes you can take the injection for the thyroid you need to consult the physician,https://1mg.com/drugs/arachitol-6l-injection-323178,Vipul Aggarwal,
Vitamin d3 is very low wt to do,other,Take 2 shots of Injection Arachitol 6lac units at an interval of 15 days,https://1mg.com/drugs/arachitol-6l-injection-323178,Dr. Akshat Goel,Orthopaedics
Hi I am 20 wk pregnent and just diagnosed with severe low levels of Vitamin D3 to be 5.67. I am taking 4000 IU of D3 (Ultra D3 4K tablet). I have two questions : 1.What does its implications. 2. Is the dose correct,other,Along with it take 2 shots of Injection Arachitol 6Lac IU at an interval of 2 weeks,https://1mg.com/drugs/arachitol-6l-injection-323178,Dr. Akshat Goel,Orthopaedics
Psa 6.75now in test 2.22 but i have pain to release urine i take alfoo tab 10mg at night,other,Get ultrasound kub with PVR n uroflowmetry,https://1mg.com/drugs/alfoo-10mg-tablet-pr-131698,Dr. Praveen Pushkar,Urology
I have been taking alfoo for last 1 year for symptoms of BPH. The doctor didn't diagnose BPH from Ultrasound but said continue to take alfoo for 6 months. Can you prescribe generic medicine in place if ALFOO?,other,Prescription is not allowed online,https://1mg.com/drugs/alfoo-10mg-tablet-pr-131698,Dr. Praveen Pushkar,Urology
Prostate grade one alfoo tab it increase pulse,other,It can incraese ur pulse rate and cause hypotension. But generally these are seen when u start this medication. Over time it used to settle. But if it doesnt then u will have to discontinue it.,https://1mg.com/drugs/alfoo-10mg-tablet-pr-131698,Dr. Praveen Pushkar,Urology
My bllader back is blocked.both kidney are hydronephrosis.PVR 300 ML After teking alfoo 10 twice daily. Now am doing CIC .but it is difficult to me .I want to know easyer system of CIC or any better treatment,other,There is nothing better than CIC,https://1mg.com/drugs/alfoo-10mg-tablet-pr-131698,Dr. Praveen Pushkar,Urology
I am suffering prostate grade one. My frequency of urine increased. My all blood report r normal,other,"We give alfoo in ur age group of patients bcz side effects are less specially retrograde ejaculation. There are other drugs in the same group but it will cause retrograde ejaculation. If u want u can try Tab Urimax 0.4 mg or Tab Silodal 8 mg at bed time. Initially there will be hypotension, dizziness but it will subside in next few days.",https://1mg.com/drugs/alfoo-10mg-tablet-pr-131698,Dr. Praveen Pushkar,Urology
Use of methylocoblamin in old age,other,I am here to guide you regarding your symptoms and medical problems,https://1mg.com/drugs/alfoo-10mg-tablet-pr-131698,Dr. Sunil Sekhri,Diabetology
To control->> high blood pressure Is 'AMLOKIND- L' Tablet right substitute for 'AMLOZAAR'?,other,Yes u can take amlokind L,https://1mg.com/drugs/amlokind-at-tablet-648536,Dr. Pushkar Mani,Physician
"My mother blood pressure not sustain, Mostly his blood pressure high 150/90. , he take amlokind AT , every second day.",other,see me at medanta opd . call 9XXXXXX,https://1mg.com/drugs/amlokind-at-tablet-648536,Dr. Nabajit Talukdar,Cardiology
"Sir/madam, i hv problem of headache at forehead and at eyes i hv also a problem of high blood pressure and my diastolic bp is always above 100 i can taken allopath medicine amlokind-AT but not relief so plzzz help me to cure it",other,Hi Kindly share your doctor opinion what is reason behind it .,https://1mg.com/drugs/amlokind-at-tablet-648536,Dr. Deepak Kumar Soni,Ayurveda
"I am feeling pain in my body , tingling in my finger , pain in head. I am having blood pressure of 149/90 Currently I am taking AMLOKIND AT . Is this ok or I will change this .",other,take COBADEX FORTE once daily for 1 month,https://1mg.com/drugs/amlokind-at-tablet-648536,Dr. Pushkar Mani,Physician
"Having sugar and high bp. But now sugar in range of 150 170. But from 2 years having problem like needle pinching in my bare feet. Medication Gamer1, ecosprin and amlokind at.",other,It is because of diabetes. Try to keep sugar and BP in normal limitsWhat is your HBA1C levelIt is symptoms of neuropathy,https://1mg.com/drugs/amlokind-at-tablet-648536,Dr. Sanjay Bhatt,Physician
i am a patient of high bp from last 30 years i take 2 tabs amlokind-l at night and nebula 5mg at mornig taking these medicines my bp remains about 145/90 shall i contnue or med may be change,other,Just do 1 hour walkingAnd avoid salt use low sodium salt,https://1mg.com/drugs/amlokind-at-tablet-648536,Dr. Pushkar Mani,Physician
bone and joint porblem so i want,other,Take Tab Zerodol-SP twice daily for pain relief,https://1mg.com/drugs/aldigesic-sp-tablet-146166,Dr. Akshat Goel,Orthopaedics
Left leg one bone fucture pain,other,Take Tab Zerodol-SP twice daily for pain relief,https://1mg.com/drugs/aldigesic-sp-tablet-146166,Dr. Akshat Goel,Orthopaedics
"Few days back there was symptoms of chikunguniya observed approx 20 days back,now there's no fever and other problems but joint pains is causing much discomfort,please suggest on this. Thanks",fever,Apply Dynapar QPS spray and take Tab Zerodol-SP twice daily for pain relief,https://1mg.com/drugs/aldigesic-sp-tablet-146166,Dr. Akshat Goel,Orthopaedics
Severe pain in right arm at middle.joint.pls suggest some pain relievers.,other,Apply Dynapar QPS spray and take Tab Zerodol-SP twice daily for pain relief,https://1mg.com/drugs/aldigesic-sp-tablet-146166,Dr. Akshat Goel,Orthopaedics
Undergone hips open 7 yrs back exo grew pain,other,Unable to understand your query please elaborateTake Tab Zerodol-SP twice daily for pain relief,https://1mg.com/drugs/aldigesic-sp-tablet-146166,Dr. Akshat Goel,Orthopaedics
Sir i meet with an accident on road can anyone plz give me a suggestion to cure it,other,Share recent X-rays of the affected regionTake Tab Zerodol-SP twice daily for pain relief,https://1mg.com/drugs/aldigesic-sp-tablet-146166,Dr. Akshat Goel,Orthopaedics
"Hi , I am PATIENT  32 M, I am an asthama patient and as well as BP, now I ve lost prescription but i remem the tablet, But when i ask phramsist, He asked to get clarity on what i need,  Suggested to take Montek. But is it Montek AB or Montek LC i have not noticed. I am a asthama Patient and i have Blood pressure as well, As suggested by  For BP, I am taking Benetic A daily in evening befre going to sleep, For Asthama i am usiing Asthalin Inhaler. Recently when i have visted my  he suggested me to take Montek in his prescription, Now i lost that entire file. Is it Montek LC or Montek AB. If you can please suggest me.",other,it should be Montek AB,https://1mg.com/drugs/ab-phylline-capsule-58271,Dr. Pushkar Mani,Physician
Increase sparm motility seman analysis motility 45 and non motility 65 plz give advice what to do this condition,other,plz meet ab andrologist for the same,https://1mg.com/drugs/ab-phylline-capsule-58271,Dr. Asmita Kaundal,Obstetrics and Gynaecology
psorisasis cure ho kar ab fir sa ho gaya please tell me,other,"Dear Mr PATIENT  can understand your problem but you need to understand that psoriasis is a chronic disease with propensity to spread, with a waxing waning course which is quite unpredictable. You may require some oral medications apart from topical. You need to visit nearby dermatologist personally you are intelligent enough to understand the fact that we cannot prescribe any medication which have a lot of side effects online, as it can harm you.",https://1mg.com/drugs/ab-phylline-capsule-58271,Dr. Banashree Majumdar,Dermatology
My thyroid test result shows TSH 7.47.What are the medication and precautions,other,Repeat after 6weeks. N get anti TPO ab tested.,https://1mg.com/drugs/ab-phylline-capsule-58271,Dr. Sfurti Mann,Internal Medicine
thyroid reported required medical assistance.,other,Get anti TPO Ab and TSH repeated after 6 weeks,https://1mg.com/drugs/ab-phylline-capsule-58271,Dr. Sfurti Mann,Internal Medicine
COPD patient have problem in walking Doctor suggest Bi Pap and oxygen concerntrator Ab flo and ditor tablet is used and nabulize with duolin,other,Please go ahead with treatment,https://1mg.com/drugs/ab-phylline-capsule-58271,Dr. Anshum Aneja Arora,Pulmonology
My most pain fulfull problem in penis to extra sex in my body i cant stop the more sex in my body to side effect headche,other,take tab paternia xt 1 bd for fifteen daystake ab dapoxetine 30 mg at night for 15 days,https://1mg.com/drugs/ab-phylline-capsule-58271,Dr. Vinod Raina,Sexology
fever with pain in legs and headache fever pain in legs headache Crosin pain relief/ nimulade/ or something else?,fever,aceclo plus twice daily for 3 days,https://1mg.com/drugs/aceclo-plus-tablet-68674,Dr. Pushkar Mani,Physician
Full body pain and weakness oxygen problem,other,aceclo plus sos for pain,https://1mg.com/drugs/aceclo-plus-tablet-68674,Dr. Pushkar Mani,Physician
Pain Headache help us Doctor,other,aceclo Plus sos for pain,https://1mg.com/drugs/aceclo-plus-tablet-68674,Dr. Pushkar Mani,Physician
I have lots of pain in joint in hand,other,aceclo plus sos for pain,https://1mg.com/drugs/aceclo-plus-tablet-68674,Dr. Pushkar Mani,Physician
She has the n had heart surgery at age 11. Had hysterectomy 4 years ago. Left side rib seems to be swollen and is protruding. Has pain in chest and back,other,Aceclo plus for pain sos,https://1mg.com/drugs/aceclo-plus-tablet-68674,Dr. Pushkar Mani,Physician
I am getting pain in right arm at joint point at solder only when we take hand upward direction.,other,could be frozen shoulder or injury to ligamentfor temp relief take aceclo Plus sos for pain,https://1mg.com/drugs/aceclo-plus-tablet-68674,Dr. Pushkar Mani,Physician
Anal itching and pain due to fistula,other,aceclo plus for painfor fistula consult surgeon,https://1mg.com/drugs/aceclo-plus-tablet-68674,Dr. Pushkar Mani,Physician
"Body pain, headache and fever (99'F) since last night. Please suggest.",other,take aceclo plus sos,https://1mg.com/drugs/aceclo-plus-tablet-68674,Dr. Pushkar Mani,Physician
I'm having cough since 2 days.,cold and cough,Get CBC ESR done Do Betadine gargles and take Alex lozenges,https://1mg.com/drugs/alex-cough-lozenges-lemon-ginger-144921,Dr. Sfurti Mann,Internal Medicine
Cure for Throt infection(khansi)with slight cough caused by common cold and flu.,cold and cough,Tab telekast L at night for two weeks Alex cough syp twice daily,https://1mg.com/drugs/alex-cough-lozenges-lemon-ginger-144921,Dr. Sfurti Mann,Internal Medicine
"Since two day suffering from fever,cold,cough and headache",cold and cough,Tab dolo sos Steam inhalation thrice daily Alex cough syp two tsf twice daily,https://1mg.com/drugs/alex-cough-lozenges-lemon-ginger-144921,Dr. Sfurti Mann,Internal Medicine
Having cough for past 3 days. No medicine taken yet Any cough syrup pls,cold and cough,Alex cough syp 2tsf twice dailyIf no relief get examined by local doctor,https://1mg.com/drugs/alex-cough-lozenges-lemon-ginger-144921,Dr. Sfurti Mann,Internal Medicine
Suffering from viral fever with bodyach and cough and cold,cold and cough,Take tab dolo 650mg sos Alex syp for cough If no relief visit doctor personally,https://1mg.com/drugs/alex-cough-lozenges-lemon-ginger-144921,Dr. Sfurti Mann,Internal Medicine
I'm diabetic patient. Taking glycomet 500mg and amoxillin 250 and insulin 15ml morning and night. I have diarrhea sometimes. Is it any side effect? Suggest me TAB,diarrhea,diarrhoea may because of amoxycillin,https://1mg.com/drugs/amoxycillin-500mg-capsule-175275,Dr. Sanjay Bhatt,Physician
I have cough from 15 days. And i have taken 20 amoxycillin. So can i take more amoxycillin and azythromicin??,cold and cough,"All antibiotics should be taken after your symptoms are assessed in clinic by A Doctor. Do warm saline gargles, steam inhalation and Syrup Cosome Expectorant 1 tsf tid x 3 days",https://1mg.com/drugs/amoxycillin-500mg-capsule-175275,Dr. Sunil Sekhri,Diabetology
Best medicine for stye had visited opthalmologist he had given moxifloxacin eye oint and amoxycillin capsule but not get relief after 3 days,other,Also take flozen Aa. If not improved again visit doc. It shd be improved,https://1mg.com/drugs/amoxycillin-500mg-capsule-175275,Dr. Richa Jain,Ophthalmology
Need treatment options for stye,other,use tab amoxycillin 625 mg bd along with antacid. A pain killer like tab triact. and hot foamentation twice daily,https://1mg.com/drugs/amoxycillin-500mg-capsule-175275,Dr. Richa Jain,Ophthalmology
"Cough from 10 days cold and light fever doctor said chest infection high allergy and blood infection. Advised paracetamol, amoxyln and a syrup. Kindly advise",cold and cough,amoxycillin is a first line antibiotic. re-vist your doctor for further examination and chest x ray if problem is persisting,https://1mg.com/drugs/amoxycillin-500mg-capsule-175275,Dr. Anshum Aneja Arora,Pulmonology
suffering from cough khansi suggest some medicine right now i am taking amoxycillin with potassium clavulanate,cold and cough,Continue with your prescribed medications,https://1mg.com/drugs/amoxycillin-500mg-capsule-175275,Dr. Sunil Sekhri,Diabetology
Antidote of Avil injection,other,Let a doctor handle the situation in the clinic or hospital,https://1mg.com/drugs/avil-injection-344388,Dr. Sunil Sekhri,Diabetology
I am allergic to prawns. .but today i had it by mistake so having severe stomach ache Please provide medicine,other,"Hi, Welcome To 1mg. I am  Anshul Varshney. You should go to emergency and get hydrocortisone injection along with Avil injection. A combination of Pantoprazole and Domperidone would help you greatly.",https://1mg.com/drugs/avil-injection-344388,Dr. Anshul Varshney,Physician
Dog flea / tic bites. Allergy all over the body.,other,Tab avil 1BD for 7 days,https://1mg.com/drugs/avil-injection-344388,Dr. Tapas Kumbhkar,Internal Medicine
"I am taking 1 no of Avil 50 mg tablet daily night for a sound sleep. I hope it dosent have any side effect or any harm. If so, pl advise alternate solution for sound sleep in night as I am not able to sleep till late night if I dnt take Avil 50 mg tablet",other,Avil is not for sleep.consult physician near by,https://1mg.com/drugs/avil-injection-344388,Dr. Sanjay Bhatt,Physician
For influenza and cough problem Inform medicine we take,cold and cough,how do u know google uncle u have influneza,https://1mg.com/drugs/antiflu-75mg-capsule-25089,Dr. Pushkar Mani,Physician
Cough & influenza last 10 days,cold and cough,"For cough, cold -- Prevent dehydration. Fluids may help thin secretions and soothe an irritated throat. Dry, hacking coughs respond to honey in hot water, tea, or lemon juice. Drink plenty of fluids to replace those lost from sweating and having a runny nose, get plenty of rest, eat healthily ? a low-fat, high-fibre diet is recommended, including plenty of fresh fruit and vegetables. OTC drugs, gargling with salt water and sucking on menthol sweets can help relieve a sore throat and blocked nose, are generally safe for older children and adults to take, but might not be suitable for babies, young children. Avoid applying Vicks VapoRub to babies and toddlers.You should never give children under 4 years of age over-the-counter cough and cold products without checking with your child's doctor. These medicines may harm young children. There are many underlying causes of cough and cold. Different cause needs different treatment. Specific treatment cannot be given unless we establish exact underlying cause. Final and perfect diagnosis cannot be done without doing clinical examination of patient. Please consult me or any other Paediatrician.  will take detail history and will examine patient in detail. All information will be used to determine exact underlying cause of problem. Depending upon cause  will prescribe you specific treatment. Advice given without doing clinical examination can be imperfect or some time harmful to patient.",https://1mg.com/drugs/antiflu-75mg-capsule-25089,Dr. Gopal Bansilal Samdani,Paediatrics
"Suffering from influenza and normal fever ,cough",cold and cough,"Hello, please start nasoclear nasal drops SOS for nasal blockage. Also start syp. cetrizine 2.5 ml once daily for the next 5 days. Also increase intake of fluids.",https://1mg.com/drugs/antiflu-75mg-capsule-25089,Dr. Rahul Yadav,Paediatrics
Any medicine i can take to save myself from swine flu virus,other,Dear sir for swine flu related information you can see Govt of India's link at http://117.239.178.13/ayush-perspective-swine-flu,https://1mg.com/drugs/antiflu-75mg-capsule-25089,Dr. Saurav Arora,Homeopathy
My son is 5.5 years now. He has been given all the required vaccinations till age 5. Please let me know details about further vaccinations required to be given to him.,other,Flu vaccine after 6 mths age,https://1mg.com/drugs/antiflu-75mg-capsule-25089,Dr. Gopal Bansilal Samdani,Paediatrics
What is H1 N1? what means swine flu?,other,It is like common flu orginated from pins,https://1mg.com/drugs/antiflu-75mg-capsule-25089,Dr. Sanjay Bhatt,Physician
Fever and cold. Headache body pain,fever,Take a flu ocil tablet twice daily,https://1mg.com/drugs/antiflu-75mg-capsule-25089,Dr. Aanchal Maheshwari,Ayurveda
Born TB medicine for week patient whoes taking less food.blood 9gram.urin drain more then taking water .alsar in stomk.samisolid dait . Both legs not working,other,Tab AKT-4 kit once daily For complete prescription detailed evaluation of the patient's condition is required,https://1mg.com/drugs/akt-4-kit-138868,Dr. Akshat Goel,Orthopaedics
I have oncular tuberculosis (NOW CURED) in my eyes since may 2015 taken AKT KIT FOR 6 MONTHS at present my vision is 10% in right eye and 50% in left,other,it could be due to scarringonce scar develop at your central retina almost impossible to cureif he cud help,https://1mg.com/drugs/akt-4-kit-138868,Dr. Richa Jain,Ophthalmology
I want to know about the food supplements I m taking AKT KIT from 4 months can i take weight gainer supplements?,other,"Healthy weight gain is important, so focus on diet and exercise both-eat dates milkshake, nut, paneer, eggs, non-veg, fruits and fruit milkshake and home-cooked meals do some weight training, with proper exercise you can also include some protein supplements for personalized diet chart write to me on shikhamishra.nutrition@gmail.com",https://1mg.com/drugs/akt-4-kit-138868,Shikha Mishra,Dietetics/Nutrition
"Can I take weight reduction course with akt 4 treatment? It include garcinia Cambogia plant extract capsule, apple cider vinegar and slim shake.",other,"no u should not take anything , first complete ur AKT full course",https://1mg.com/drugs/akt-4-kit-138868,Dr. Pushkar Mani,Physician
"Dear sir, I am kumar Gautam & my wife name is PATIENT  suffering of infertility problem during 4 years. Tb pcr detected during laparoscopy & hysterocopy operation.  suggest Akt 4 tablet for 2 months than Akt3 tablets for 4 months.just 3 months completed today. My wife is suffering dry caugh from 2 months. Is dry cough side effects from Akt 4 and Akt 3 tablets. Sir/Madam Give me the best solutions Regard Kumar Gautam Berhampore",other,no usually att does not lead to cough but still she has stopped it so see for a few days whether it stops. Also i dont know about the cause of your infertility problem but you can go through my website www.drsonubalhara.in,https://1mg.com/drugs/akt-4-kit-138868,Dr. Sonu Balhara Ahlawat,Obstetrics and Gynaecology
"Sir I'm a tb patient and I have been said to take Akt-4 and few other medines for a period of time,but unfortunately I missed my two doses of AKT-4 so I want to ask that will I have to restart my doses from the beginning.",other,If only two doses are missed continue as before no need to re start,https://1mg.com/drugs/akt-4-kit-138868,Dr. Sfurti Mann,Internal Medicine
My Doctor has advised to have AKT 4 for one month. I am consuming those tabs from 15 days. Yesterday i have undergone the lever Function test. Please find the attached report and kindly advise whether we should continue using AKT 4 tabs or not?,other,"u can continue with liv 52 tab thrice a day after breakfast, after lunch, after dinner",https://1mg.com/drugs/akt-4-kit-138868,Dr. Khalid Basha,Physician
What is BNP test? Pls explain. What is BNP ASSAY?My result is133.0 explain,other,"BNP levels below 100 pg/mL indicate no heart failure. BNP levels of 100-300 pg/mL suggest heart failure is present. BNP levels above 300 pg/mL indicate mild heart failure. BNP levels above 600 pg/mL indicate moderate heart failure.The level of BNP in the blood increases when heart failure symptoms worsen, and decreases when the heart failure condition is stable",https://1mg.com/drugs/azmarda-50mg-tablet-345285,Dr. Manju Singh,Homeopathy
Myself is high B.P patients .There is some swelling in the face today . what is going on?,other,Kidney damage or heart failure,https://1mg.com/drugs/azmarda-50mg-tablet-345285,Dr. Pushkar Mani,Physician
I have heart failure complain when awake in early morning,other,What symptoms do u have any reports done,https://1mg.com/drugs/azmarda-50mg-tablet-345285,Dr. Saurabh Arora,Cardiology
Clotting in right leg.after trying tablet wefron2mg . Xerlton15mg is going on.but itching comes on full body. Itching not stopping.what may be reason for itching. Thodi sans bhi fulti he there ke,other,kidney failure can be reason or heart attackconsult cardiologist and nephrologist,https://1mg.com/drugs/azmarda-50mg-tablet-345285,Dr. Pushkar Mani,Physician
my mom heart ef is 35 she suffer congestive heart failure  says heart rythum is not good aa result he suggest for pacemaker when she admit ef is 30 and after 10 days it shows 35 show it will increase naturally or use medicine life time any medicine in aurveda to live long and natural  also suggeat intake only 2liter water a day please suggest me waiting for ur answer thanks,other,Hi Need to consult to face to face kindly visit any ayurveda doctor at your city,https://1mg.com/drugs/azmarda-50mg-tablet-345285,Dr. Deepak Kumar Soni,Ayurveda
Patient is under medical treatment from past 4-5 years and now having asthematic problem and heart failure. Is it necessary to go for angio. I am unable to attach medical reports and prescriptiona here. Kindly inform me the mail id so that I can share those with you.,other,I also need to see the patient in person,https://1mg.com/drugs/azmarda-50mg-tablet-345285,Dr. Nabajit Talukdar,Cardiology
What for Nefrosave tablet is recommended ???,other,"Nefrosave Tablet Uses Nefrosave Tablet is used for the treatment, control, prevention, & improvement of the following diseases, conditions and symptoms: High Blood Pressure Join 148 Pro Subscribers Hereditary Disorder Affecting The Exocrine Glands Hepatitis Join 48 Pro Subscribers Carbon Tetrachloride Poisoning Join 75 Pro Subscribers Acute Bronchitis Join 74 Pro Subscribers Chronic Bronchitis Paracetamol Poisoning Congestive Heart Failure High Cholesterol",https://1mg.com/drugs/azmarda-50mg-tablet-345285,Dr. Sanjay Bhatt,Physician
Hi! My  diagnosed me with Tinea Cruris which is like a red patch between my thighs near my genitals so he recommended me ITRASYS-200 MG (Twice Daily) for 30 days and gave an ointment EBERNET-M. After taking them the Tinea was almost gone when suddenly I had a breakout again and it itches a lot. I would appreciate your opinion on this matter. Thanks! :) Also kindly let me know should I take the same again? Or maybe if you could be able to suggest something better?,other,Apply ebernet cream not ebernet m Twice daily for 6wksStart itraconazole 200 mg - 1cap daily after lunch for 3wksTake itraconazole only if u dnt HV any heart problem like heart failure,https://1mg.com/drugs/azmarda-50mg-tablet-345285,Dr. Souvik Sardar,Dermatology
I have fissure problem. Which medicine I should use.,other,apply ANOBLISS CREAM or LOX 2% everytime before & after going to toilet.CREMAFFIN SYRUP three spoon before bed time for a week.,https://1mg.com/drugs/anobliss-cream-145210,Dr. Satyam S. Bhavsar,Physician
I am suffering from Anal fissure. Kindly suggest me some ointment to apply on fissures for healing immediately.,other,"Hello , Welcome to 1mg consulting, Myself Dr.Satyam Bhavsar,MBBS. Happy to help you :)Sitz bath (sit in a warm water with povidone iodine) 3-4 times a day including everytime after toiletANOBLISS CREAM (samarth) apply locally 3-4 times a day including everytime after toiletTAB.FLAGYL 400 (abbott) for 5 days, twice a day.TAB.COMBIFLAM Three times a day for 5 daysISAPGHULA HUSK 1-2 teaspoon in water one or two times a day for control of constipation and straining during defecationSYR.CREMAFFIN Liquid paraffin (5-15 ml) at bed time for one weekstrictly stop spice food. Have plenty of fluids. avoid bike or other journey causing stress. strictly follow the above course for 10 days atleast even if you feel recovered. It takes time & consistency to heal. Only change the course if you feel its deteriorating.Hope this helps. Happy to help you. All the medicines as well as lab tests are available on 1mg.com .Order now. Have a nice day :)",https://1mg.com/drugs/anobliss-cream-145210,Dr. Satyam S. Bhavsar,Physician
I occasionally find blood in my stool.,other,"May be anal fissure, get yourself examined by a surgeon.",https://1mg.com/drugs/anobliss-cream-145210,Dr. Sfurti Mann,Internal Medicine
Fissure and fistula of anal region Fissure and fistula of anal and rectal region,other,refer to surgeon again,https://1mg.com/drugs/anobliss-cream-145210,Dr. Pushkar Mani,Physician
"Dear sir, When I m going to toilet (sandas) then there ( in ass) is paining & bleading after that paining is stable for 2.0 hour's. So please inform me what is the problem & suggest the solution.",other,it could be because of anal fissure but final diagnose requires a clinical check up,https://1mg.com/drugs/anobliss-cream-145210,Dr. Sunil Sekhri,Diabetology
anal fissure with burning and pain,other,"Please elaborate your symptoms, history, treatment and investigations done.",https://1mg.com/drugs/anobliss-cream-145210,Dr. Saurav Arora,Homeopathy
Anal fissure painful Around skin irritation,other,please sent the pictures of affected area,https://1mg.com/drugs/anobliss-cream-145210,Dr. Atula Gupta,Dermatology
Anal fissure from last 2 years,other,"Please elaborate your symptoms, history, treatment and investigations done.",https://1mg.com/drugs/anobliss-cream-145210,Dr. Saurav Arora,Homeopathy
how to get free from this disease depression. without taking these medicines nexito and amixide I can't sleep . taking from 1half yes. please,other,"Dear 1mg user, please come to online counselling audio(phone) chat so that i can take your history and suggest you best life style, Pay Rs 99 and call me on my phone www.dontfeel.com",https://1mg.com/drugs/amixide-h-tablet-154342,Dr. Venkatraju Kalidindi,Psychiatry
What would be alternative for this medicine for same salt composition of some lower price. Name of the medicine -- ( Telmisartan 40 mg and Hydrochlorothiazide 12.5 mg tablets USP,other,Telma h 40/12.5,https://1mg.com/drugs/amixide-h-tablet-154342,Dr. Nabajit Talukdar,Cardiology
"I am 26 years now, i have anxity, panic and fobia problem scenc my childhood, and I have also depression and virtigo sometime. So One year ago i went to a neurologist he suggested me some blood test and also mri brain, and gave me betacap tr 40 and amixide h. Blood test report are normal but in that mri doctor see some very small spot so he gave me clopitap75 for 3month, and when i knew about that spot, my tension and depression was too much. So my doctor hold amixide h and gave me zaptra 12.5, and then its improv my situation, after 3 month he stop clopitab 75. And now for last one year i have taken beta cap -12 month (cont.) Amixide h- first 2month (off) clopitab- 3month and (off) Zaptra12.5- 10month (cont.) Now i have memory problem, confusion, concentration problem, some time panic aslo. And i thought again something happens in my brain and negetive thoughts, i think of my memory is going to weaker day by day. Now thats is my main problems",other,"Depression is a persistent state of sadness that is the result of interaction between one's inner biological and psychological state and gets triggered of with environmental stressors. Reactive depression is in response to a situation like loss, sickness, trauma etc. Endogenous depression occurs without any noticeable environmental stressors. Psychological symptoms include lack of interest, negative thinking, irritability, frustration, feeling demotivated etc. Somatic symptoms like fatigue/ weakness/ lack of sleep/ lack of appetite and other physical symptoms are common. Anxiety is common. In severe cases one may feel helpless and hopeless enough to wish for death or attempt suicide. Treatment includes physical and psychiatric work up following which medicines can be prescribed. In milder cases, psychotherapy or counselling is recommended. Depressive disorders are primarily neurochemical imbalances and are treated by a psychiatrist. I advise that you consult a god d psychiatrist for treatment.",https://1mg.com/drugs/amixide-h-tablet-154342,Dr. Jyoti Kapoor Madan,Psychiatry
"I have been advised Telma 20 for my BP range 140/90, however of late it is coming 150/110. My doctor advice Telma 40. Or should I take Cilacar 10.",other,take telma h 40,https://1mg.com/drugs/amixide-h-tablet-154342,Dr. Nabajit Talukdar,Cardiology
I have heart burn .right after eating I feel heart burn.i take histac EVT and omesec 20 to control.but whenever I forgot to take.i feel .please give me any course after completing that I don't feel heart burn,other,Do the test for h pylori,https://1mg.com/drugs/amixide-h-tablet-154342,Dr. Pushkar Mani,Physician
"The heart rate fluctuating from greater than 120 to less than 110. While in sitting posture heart rate increased to more than 130 and decreased to less than 115 when made to lie down. Patient is having brain cancer, bed ridden and minimally conscious. No prior history of heart disease. Have just finished his radiation therapy",other,Check h is hydration status,https://1mg.com/drugs/amixide-h-tablet-154342,Dr. Nabajit Talukdar,Cardiology
Allargy rihinitis and depression anxiety Sir mujhe nose watering hota h any time Or depression or anxity bhi h,other,Please consult doctor regarding this,https://1mg.com/drugs/amixide-h-tablet-154342,Shikha Mishra,Dietetics/Nutrition
"I am having a pain in the surrounding area of heart for last 7-8 years, I consulted with the physician and cardiologist as well and gone through with the ECG, XRay and stress Echo test but all the reports are normal. Some have a mild pain but some time severe pain which spread out to whole left hand. So please suggest and help. With Regards PATIENT",other,Can start amitone 10mg after consulting with your physician,https://1mg.com/drugs/amitone-10mg-tablet-43621,Dr. Saurabh Arora,Cardiology
"heat from head, and also pain,please tell medicine",other,amitone 10 mg hs,https://1mg.com/drugs/amitone-10mg-tablet-43621,Dr. Vikas Sharma,Neurology
Am feeling like something in head I mean am not comfortable doctor There is no pain but feeling like heavy,other,Tab amitone 10 mg daily nite,https://1mg.com/drugs/amitone-10mg-tablet-43621,Dr. Vikas Sharma,Neurology
Having pain behind head where there was head injury,other,Tab Amitone 10 mg bd Ct head,https://1mg.com/drugs/amitone-10mg-tablet-43621,Dr. Vikas Sharma,Neurology
I have pain on my left side of forehead.it continues from last 3-4 days.when i bend then pain increases,other,Do ct head Tab amitone 10 mg Hs,https://1mg.com/drugs/amitone-10mg-tablet-43621,Dr. Vikas Sharma,Neurology
"Headache . Hemoglobin 10, headache does not recover by taking pain killer .",other,MRI brain ; tab amitone 10 mg bd,https://1mg.com/drugs/amitone-10mg-tablet-43621,Dr. Vikas Sharma,Neurology
Pain in right side head and eye.,other,do MRI brain ; tab amitone 10 mg bd,https://1mg.com/drugs/amitone-10mg-tablet-43621,Dr. Vikas Sharma,Neurology
there is pain in my head and it hurts me much,other,"tab amitone 10 mg HS, do MRI brain",https://1mg.com/drugs/amitone-10mg-tablet-43621,Dr. Vikas Sharma,Neurology
"Sir, i should gain my weight so i will take aptimust syrups",other,No medicine for weight gain,https://1mg.com/drugs/aptimust-syrup-158117,Dr. Sfurti Mann,Internal Medicine
Viyagra is originally work or it make feeling like that,other,It is a sex stimulant,https://1mg.com/drugs/aptimust-syrup-158117,Dr. Vinod Raina,Sexology
